,name,place,lat,lon,map
34615, სტეფანწმინდა, town,42.657968,44.6408857,D:/MapsData/ სტეფანწმინდა.png
34616, Суксун, town,57.1463922,57.39513390000001,D:/MapsData/ Суксун.png
34617, Chah Sultan, town,33.624451,73.0724306,D:/MapsData/ Chah Sultan.png
34618, Bo'ka, town,40.816929,69.1998549,D:/MapsData/ Bo'ka.png
34619, Selayang, city,3.2537121,101.6539012,D:/MapsData/ Selayang.png
34620, Jebel, town,39.6311735,54.2374781,D:/MapsData/ Jebel.png
34621, Gumdag, city,39.2023717,54.587459,D:/MapsData/ Gumdag.png
34622, Bereket, city,39.24481220000001,55.5213285,D:/MapsData/ Bereket.png
34623, Serdar, city,38.9798681,56.2726507,D:/MapsData/ Serdar.png
34624, كريم آباد, town,36.3270559,74.65933570000001,D:/MapsData/ كريم آباد.png
34625, Oglanly, town,39.848494,54.4942981,D:/MapsData/ Oglanly.png
34626, Sarahs, city,36.5237406,61.2152195,D:/MapsData/ Sarahs.png
34627, Tagtabazar, town,35.9553117,62.91738589999999,D:/MapsData/ Tagtabazar.png
34628, Kerkiçi, town,37.8507514,65.2432959,D:/MapsData/ Kerkiçi.png
34629, Bäherden, city,38.4356565,57.43677270000001,D:/MapsData/ Bäherden.png
34630, Gökdepe, city,38.1553965,57.9619789,D:/MapsData/ Gökdepe.png
34631, چلاس, town,35.419521,74.0962929,D:/MapsData/ چلاس.png
34632, דימונה, city,31.0686612,35.0366482,D:/MapsData/ דימונה.png
34633, קרית מלאכי, town,31.7314672,34.74348,D:/MapsData/ קרית מלאכי.png
34634, קרית גת, town,31.6093998,34.771198299999995,D:/MapsData/ קרית גת.png
34635, ახმეტა, town,42.0341864,45.21085789999999,D:/MapsData/ ახმეტა.png
34636, נשר, town,32.7708797,35.0381249,D:/MapsData/ נשר.png
34637, ערד, city,31.2612199,35.214581,D:/MapsData/ ערד.png
34638, شکرگڑھ, town,32.2629576,75.1604119,D:/MapsData/ شکرگڑھ.png
34639, İsmayıllı, town,40.788056,48.1485653,D:/MapsData/ İsmayıllı.png
34640, Шилово, town,54.318344,40.887768,D:/MapsData/ Шилово.png
34641, Большой Луг, town,52.0778859,104.0918894,D:/MapsData/ Большой Луг.png
34642, Шелехов, town,52.2097478,104.097683,D:/MapsData/ Шелехов.png
34643, Kendal, town,-6.9217033,110.2040344,D:/MapsData/ Kendal.png
34644, Pekalongan, city,-6.893962299999999,109.6731758,D:/MapsData/ Pekalongan.png
34645, Pemalang, town,-6.890357400000001,109.3806499,D:/MapsData/ Pemalang.png
34646, Tegal, city,-6.8673767,109.13788329999998,D:/MapsData/ Tegal.png
34647, Железногорск, town,56.250938,93.53286,D:/MapsData/ Железногорск.png
34648, Сосновоборск, town,56.12149399999999,93.33873,D:/MapsData/ Сосновоборск.png
34649, Бородино, town,55.8997187,94.8930452,D:/MapsData/ Бородино.png
34650, Уяр, town,55.809986,94.327774,D:/MapsData/ Уяр.png
34651, Заозёрный, town,55.965401,94.708107,D:/MapsData/ Заозёрный.png
34652, Лесосибирск, town,58.223511,92.48597,D:/MapsData/ Лесосибирск.png
34653, Енисейск, town,58.45322120000001,92.1748169,D:/MapsData/ Енисейск.png
