,name,place,lat,lon,map
33179, Bargarh, town,21.333012,83.61447740000001,D:/MapsData/ Bargarh.png
33180, Visavadar, town,21.341705800000003,70.75342990000001,D:/MapsData/ Visavadar.png
33181, Shirpur, town,21.3527715,74.88418359999999,D:/MapsData/ Shirpur.png
33182, Nandurbar, city,21.363778,74.2411418,D:/MapsData/ Nandurbar.png
33183, Talaja, town,21.3545788,72.0368814,D:/MapsData/ Talaja.png
33184, Amgaon, town,21.3733211,80.38238929999999,D:/MapsData/ Amgaon.png
33185, Tumsar, city,21.3820399,79.75002059999998,D:/MapsData/ Tumsar.png
33186, Kharora, town,21.3995547,81.9278781,D:/MapsData/ Kharora.png
33187, Chandipur, town,21.4699365,87.05185920000002,D:/MapsData/ Chandipur.png
33188, Warud, town,21.4731066,78.272887,D:/MapsData/ Warud.png
33189, Palitana, town,21.5236104,71.82195970000002,D:/MapsData/ Palitana.png
33190, Shahada, town,21.5409188,74.47166159999998,D:/MapsData/ Shahada.png
33191, Sausar, town,21.6512303,78.802091,D:/MapsData/ Sausar.png
33192, Pandhurna, town,21.5954798,78.5258489,D:/MapsData/ Pandhurna.png
33193, Kasdol, town,21.6193745,82.4270994,D:/MapsData/ Kasdol.png
33194, Dediapada, town,21.6271369,73.58980759999999,D:/MapsData/ Dediapada.png
33195, Netrang, town,21.639574600000003,73.3661964,D:/MapsData/ Netrang.png
33196, Porbandar, city,21.6409,69.611,D:/MapsData/ Porbandar.png
33197, Digha, town,21.6224576,87.5069427,D:/MapsData/ Digha.png
33198, Lathi, town,21.724718,71.3899959,D:/MapsData/ Lathi.png
33199, Sihor, town,21.720494,71.9605587,D:/MapsData/ Sihor.png
33200, Dahej, town,21.7118382,72.5898083,D:/MapsData/ Dahej.png
33201, Bharuch, city,21.7080427,72.9956936,D:/MapsData/ Bharuch.png
33202, Bhatpara, town,21.7353478,81.94445920000003,D:/MapsData/ Bhatpara.png
33203, Chital, town,21.7346125,71.2004615,D:/MapsData/ Chital.png
33204, Dhoraji, town,21.734812,70.44915379999998,D:/MapsData/ Dhoraji.png
33205, Betnoti, town,21.7418915,86.8456965,D:/MapsData/ Betnoti.png
33206, Bhavnagar, city,21.7718836,72.1416449,D:/MapsData/ Bhavnagar.png
33207, Katangi, town,21.7725576,79.8038021,D:/MapsData/ Katangi.png
33208, Multai, town,21.774590300000003,78.26350579999998,D:/MapsData/ Multai.png
33209, Contai, town,21.7805923,87.74482859999998,D:/MapsData/ Contai.png
33210, Balaghat, town,21.8133417,80.1916685,D:/MapsData/ Balaghat.png
33211, Khandwa, city,21.8203752,76.3555424,D:/MapsData/ Khandwa.png
33212, Babra, town,21.8485451,71.3036656,D:/MapsData/ Babra.png
33213, Bhikangaon, town,21.8669568,75.96352370000002,D:/MapsData/ Bhikangaon.png
33214, Jam Kandoma, town,21.8926077,70.49725550000002,D:/MapsData/ Jam Kandoma.png
33215, Koira, town,21.9068705,85.2505093,D:/MapsData/ Koira.png
