,name,place,lat,lon,map
92493, San Luis, town,13.8549614,120.9162263,D:/MapsData/ San Luis.png
92494, Virac, town,13.5808157,124.2310553,D:/MapsData/ Virac.png
92495, Siniloan, town,14.4215284,121.444412,D:/MapsData/ Siniloan.png
92496, Esperanza, town,11.7365759,124.0420206,D:/MapsData/ Esperanza.png
92497, Kabankalan, city,9.9889153,122.8134802,D:/MapsData/ Kabankalan.png
92498, Banate, town,11.0013359,122.81862959999998,D:/MapsData/ Banate.png
92499, Concepcion, town,15.324852800000002,120.6553857,D:/MapsData/ Concepcion.png
92500, Mauban, town,14.1941181,121.7284809,D:/MapsData/ Mauban.png
92501, San Miguel, town,13.6403293,124.3031092,D:/MapsData/ San Miguel.png
92502, Sugpon, town,16.8444574,120.516718,D:/MapsData/ Sugpon.png
92503, Panaon, town,8.362795,123.8409132,D:/MapsData/ Panaon.png
92504, Solsona, town,18.0953562,120.7732123,D:/MapsData/ Solsona.png
92505, Libungan, town,7.2417,124.5175504,D:/MapsData/ Libungan.png
92506, Banguingui, town,6.0710519,121.7848726,D:/MapsData/ Banguingui.png
92507, Liloan, town,10.1581869,125.1253149,D:/MapsData/ Liloan.png
92508, Cuyo, town,10.8486837,121.0137858,D:/MapsData/ Cuyo.png
92509, Poona Bayabao, town,7.8531283,124.3394332,D:/MapsData/ Poona Bayabao.png
92510, Lila, town,9.5906941,124.0953479,D:/MapsData/ Lila.png
92511, Pantao Ragat, town,8.061055900000001,124.1846453,D:/MapsData/ Pantao Ragat.png
92512, Bacuag, town,9.6084227,125.6382344,D:/MapsData/ Bacuag.png
92513, Padre Garcia, town,13.8774171,121.213934,D:/MapsData/ Padre Garcia.png
92514, Kolambugan, town,8.111282000000001,123.8965933,D:/MapsData/ Kolambugan.png
92515, Tampakan, town,6.4437607,124.9269132,D:/MapsData/ Tampakan.png
92516, Aloguinsan, town,10.2233321,123.5485926,D:/MapsData/ Aloguinsan.png
92517, Quezon, town,14.0079425,122.1824925,D:/MapsData/ Quezon.png
92518, Burgos, town,10.0181311,126.0742822,D:/MapsData/ Burgos.png
92519, Aguilar, town,15.8887225,120.2395625,D:/MapsData/ Aguilar.png
92520, Guinayangan, town,13.8963821,122.4521906,D:/MapsData/ Guinayangan.png
92521, Badiangan, town,10.9863355,122.5367496,D:/MapsData/ Badiangan.png
92522, Talibon, town,10.1491821,124.3248315,D:/MapsData/ Talibon.png
92523, Ganassi, town,7.8260261,124.1018827,D:/MapsData/ Ganassi.png
92524, Pamplona, town,18.4641165,121.3405544,D:/MapsData/ Pamplona.png
92525, Jose Dalman, town,8.4395236,123.0231043,D:/MapsData/ Jose Dalman.png
92526, Tudela, town,8.24301,123.8454731,D:/MapsData/ Tudela.png
92527, Don Victoriano Chiongbian, town,8.2492223,123.5673621,D:/MapsData/ Don Victoriano Chiongbian.png
92528, Tanauan, town,11.1094062,125.0206207,D:/MapsData/ Tanauan.png
92529, Cajidiocan, town,12.3693495,122.6862296,D:/MapsData/ Cajidiocan.png
92530, Pilar, town,12.9235719,123.675399,D:/MapsData/ Pilar.png
92531, Argao, town,9.8827627,123.6068412,D:/MapsData/ Argao.png
92532, Suyo, town,16.983764,120.5151368,D:/MapsData/ Suyo.png
92533, Jamindan, town,11.4089123,122.5105924,D:/MapsData/ Jamindan.png
92534, Magsaysay, town,9.0193202,125.1805417,D:/MapsData/ Magsaysay.png
92535, Pinili, town,17.9526115,120.5273877,D:/MapsData/ Pinili.png
92536, Santa Rita, town,11.4513071,124.9413895,D:/MapsData/ Santa Rita.png
92537, Moises Padilla, town,10.270745,123.0734088,D:/MapsData/ Moises Padilla.png
92539, Sinacaban, town,8.2852116,123.8431094,D:/MapsData/ Sinacaban.png
92540, Lupi, town,13.7902611,122.9089501,D:/MapsData/ Lupi.png
92541, Malay, town,11.9000941,121.9099,D:/MapsData/ Malay.png
92542, Medellin, town,11.1276626,123.9621553,D:/MapsData/ Medellin.png
92543, San Miguel, town,7.6483032999999985,123.2676131,D:/MapsData/ San Miguel.png
92544, Panglao, town,9.5791851,123.7452642,D:/MapsData/ Panglao.png
