,name,place,lat,lon,map
123151, Muncar, town,-8.4323409,114.3367312,D:/MapsData/ Muncar.png
123152, Rogojampi, town,-8.313458,114.2893707,D:/MapsData/ Rogojampi.png
123153, 西湖乡, town,29.8507223,117.1779917,D:/MapsData/ 西湖乡.png
123154, 新安乡, town,29.8861586,117.2816823,D:/MapsData/ 新安乡.png
123155, 渭南镇, town,34.6806136,105.655699,D:/MapsData/ 渭南镇.png
123156, Rikillagaskada, town,7.1458421,80.7839741,D:/MapsData/ Rikillagaskada.png
123158, 双录乡, town,47.6319,127.04700000000001,D:/MapsData/ 双录乡.png
123159, 扎音河乡, town,47.6484,126.96700000000001,D:/MapsData/ 扎音河乡.png
123160, 象珠镇, town,28.978922,120.0769401,D:/MapsData/ 象珠镇.png
123161, 石柱镇, town,28.8462495,120.0914488,D:/MapsData/ 石柱镇.png
123162, 龙山镇, town,29.0240478,120.18560829999998,D:/MapsData/ 龙山镇.png
123163, 画水镇, town,29.1641374,120.13845790000002,D:/MapsData/ 画水镇.png
123164, 古山镇, town,28.9829849,120.1636935,D:/MapsData/ 古山镇.png
123165, 四路镇, town,29.0481407,120.22492340000002,D:/MapsData/ 四路镇.png
123166, 画溪镇, town,29.1931946,120.1561062,D:/MapsData/ 画溪镇.png
123167, 防军镇, town,29.0694188,120.24870359999998,D:/MapsData/ 防军镇.png
123168, 前仓镇, town,28.8013134,120.0885185,D:/MapsData/ 前仓镇.png
123169, ལྦ་ཤུལ། 瓦须乡, town,32.585238000000004,98.8901681,D:/MapsData/ ལྦ་ཤུལ། 瓦须乡.png
123170, ཁྱེའུ། 起坞乡, town,32.5775247,98.37641440000002,D:/MapsData/ ཁྱེའུ། 起坞乡.png
123171, 苏店镇, town,36.1192638,113.0860411,D:/MapsData/ 苏店镇.png
123172, 胡库镇, town,28.9653413,120.180664,D:/MapsData/ 胡库镇.png
123173, 芝英镇, town,28.9393961,120.1382983,D:/MapsData/ 芝英镇.png
123174, 白雀园镇, town,31.7876841,115.0921561,D:/MapsData/ 白雀园镇.png
123175, 吴陈河镇, town,31.757147600000003,114.7954066,D:/MapsData/ 吴陈河镇.png
123176, 沙窝镇, town,31.698041600000003,115.1195978,D:/MapsData/ 沙窝镇.png
123177, 黄土岗镇, town,31.3844522,115.0757853,D:/MapsData/ 黄土岗镇.png
123178, 顺河镇, town,31.3017283,114.8325003,D:/MapsData/ 顺河镇.png
123180, 双沟镇, town,32.185103600000005,112.3782287,D:/MapsData/ 双沟镇.png
123181, Gautam Budda Nagar, town,28.3584635,77.5483557,D:/MapsData/ Gautam Budda Nagar.png
123182, Murshadpur, town,28.3949348,77.5226435,D:/MapsData/ Murshadpur.png
123183, 中井町, town,35.334473,139.220648,D:/MapsData/ 中井町.png
123184, 平茶镇, town,26.3493656,109.3717587,D:/MapsData/ 平茶镇.png
123186, Khaira Gali, town,33.9829749,73.40016290000001,D:/MapsData/ Khaira Gali.png
123187, Kali Matti, town,33.952752200000006,73.3933891,D:/MapsData/ Kali Matti.png
123188, Darya Gali, town,33.9475369,73.39536319999998,D:/MapsData/ Darya Gali.png
123189, 南关镇, town,36.7068796,111.6744609,D:/MapsData/ 南关镇.png
123190, Begunia, town,20.2012848,85.4524219,D:/MapsData/ Begunia.png
123191, Jordan, town,10.6611675,122.5909592,D:/MapsData/ Jordan.png
123192, San Lorenzo, town,10.5919964,122.7021327,D:/MapsData/ San Lorenzo.png
123193, Sibunag, town,10.5036984,122.63069579999998,D:/MapsData/ Sibunag.png
123194, 车村镇, town,33.796912799999994,112.1156903,D:/MapsData/ 车村镇.png
123195, নবীনগর, town,23.8846959,90.9699944,D:/MapsData/ নবীনগর.png
123196, 白鹿镇, town,31.6120897,109.6744813,D:/MapsData/ 白鹿镇.png
123197, 横水镇, town,35.4733629,111.4460969,D:/MapsData/ 横水镇.png
123198, 洗马镇, town,26.7096422,107.07695590000002,D:/MapsData/ 洗马镇.png
123199, 龙岗镇, town,26.8803568,107.1086667,D:/MapsData/ 龙岗镇.png
123200, 北中镇, town,30.659892100000004,115.8782568,D:/MapsData/ 北中镇.png
123201, 天华镇, town,30.4712969,116.1306795,D:/MapsData/ 天华镇.png
123202, 黄站镇, town,31.578138,114.498519,D:/MapsData/ 黄站镇.png
123203, 丰山镇, town,31.1137564,114.1636466,D:/MapsData/ 丰山镇.png
123204, 白沙镇, town,31.135211,113.8939444,D:/MapsData/ 白沙镇.png
123206, 天文镇, town,27.2685753,107.4395077,D:/MapsData/ 天文镇.png
123207, 龙溪镇, town,27.3060142,107.7352659,D:/MapsData/ 龙溪镇.png
123208, 大乌江镇, town,27.3989477,107.7007794,D:/MapsData/ 大乌江镇.png
123209, 社城镇, town,37.1995862,112.9409842,D:/MapsData/ 社城镇.png
123210, 六龙镇, town,27.1713646,105.6952639,D:/MapsData/ 六龙镇.png
123211, 羊场镇, town,27.0781658,105.6709484,D:/MapsData/ 羊场镇.png
123212, 林泉镇, town,27.0429993,105.8612294,D:/MapsData/ 林泉镇.png
123213, 宝绍岱苏木, town,42.4906609,115.5339384,D:/MapsData/ 宝绍岱苏木.png
123214, 桑根达来镇, town,42.6788009,115.9478857,D:/MapsData/ 桑根达来镇.png
123215, 伊和淖尔苏木, town,42.6189,115.145,D:/MapsData/ 伊和淖尔苏木.png
123216, 八步街道, town,26.8246526,105.8124663,D:/MapsData/ 八步街道.png
123217, 化德县, city,41.8943454,114.002501,D:/MapsData/ 化德县.png
123218, 站街镇, town,26.6375316,106.3581565,D:/MapsData/ 站街镇.png
123219, 高峰镇, town,26.379012,106.3442264,D:/MapsData/ 高峰镇.png
123220, 复兴镇, town,27.9972858,107.6101294,D:/MapsData/ 复兴镇.png
123222, 信义镇, town,37.5559451,111.28702,D:/MapsData/ 信义镇.png
123223, Baco, town,13.3581031,121.0963319,D:/MapsData/ Baco.png
123224, 阳平镇, town,34.522645700000005,110.6712061,D:/MapsData/ 阳平镇.png
123225, 豫灵镇, town,34.523385299999994,110.3956485,D:/MapsData/ 豫灵镇.png
123226, 交口乡, town,34.7221654,111.2698435,D:/MapsData/ 交口乡.png
123227, 张茅乡, town,34.7221347,111.387252,D:/MapsData/ 张茅乡.png
123229, 观音堂镇, town,34.7160004,111.5618347,D:/MapsData/ 观音堂镇.png
123230, 英豪镇, town,34.7322286,111.649311,D:/MapsData/ 英豪镇.png
123231, 待补镇, town,26.1955855,103.4257734,D:/MapsData/ 待补镇.png
123232, Ottapalam, town,10.7732226,76.3772453,D:/MapsData/ Ottapalam.png
123233, 蒿坪镇, town,32.59947639999999,108.6160794,D:/MapsData/ 蒿坪镇.png
123234, 西山乡, town,25.9622391,99.6721403,D:/MapsData/ 西山乡.png
123235, 朱阳镇, town,34.3268316,110.714884,D:/MapsData/ 朱阳镇.png
123236, Kakinada, city,16.943738500000002,82.2350607,D:/MapsData/ Kakinada.png
123237, سرپل ذهاب, town,34.4607687,45.863763,D:/MapsData/ سرپل ذهاب.png
123238, 金岭回族镇, town,36.7974083,118.1971993,D:/MapsData/ 金岭回族镇.png
123239, 河口镇, town,37.92287750000001,112.2208134,D:/MapsData/ 河口镇.png
